站点代码, 数据时间, 气温, 气压, 相对湿度, 风向, 风速, 降雨量, 能见度
58015,20220523065432,10.2,1011.6,88,125,4.1,0.0,10371.0
58102,20220523065432,13.2,1019.9,43,4,11.1,0.2,10180.4
58118,20220523065432,22.3,1024.7,9,164,11.5,0.1,10163.7
58122,20220523065432,10.0,1026.2,49,125,6.3,1.5,10295.8
58203,20220523065432,18.1,1004.8,81,274,6.4,1.1,10152.2
58215,20220523065432,19.3,1021.9,23,182,3.3,0.8,10019.0
58221,20220523065432,1.0,1003.3,60,126,0.5,1.1,10468.0
58225,20220523065432,22.0,1013.2,11,237,12.0,1.4,10025.1
58236,20220523065432,13.3,1025.3,80,242,12.8,1.1,10005.5
58311,20220523065432,34.6,1025.9,21,312,12.3,0.2,10409.8
58314,20220523065432,9.1,1007.9,58,165,10.4,0.8,10217.0
58319,20220523065432,7.4,1003.2,26,33,3.1,0.3,10144.0
58321,20220523065432,7.3,1018.7,65,206,1.3,0.3,10181.4
58326,20220523065432,4.8,1013.0,30,176,8.4,0.1,10098.5
58336,20220523065432,9.4,1022.8,88,347,10.4,0.0,10359.1
58338,20220523065432,12.8,1000.2,48,211,5.1,0.1,10434.3
58414,20220523065432,2.6,1013.5,47,196,11.0,0.2,10475.7
58419,20220523065432,16.0,1015.1,36,226,11.3,0.8,10268.7
58424,20220523065432,31.7,1024.7,97,276,1.1,1.1,10018.3
58429,20220523065432,14.0,1001.5,1,8,9.4,0.3,10239.4
58436,20220523065432,3.3,1021.2,57,3,8.5,1.0,10187.1
58437,20220523065432,10.6,1008.9,47,212,12.7,0.6,10241.9
58520,20220523065432,19.5,1025.7,46,107,2.0,0.5,10013.2
58531,20220523065432,7.4,1021.9,71,32,11.1,0.6,10199.0
54406,20220523065432,5.8,1005.2,33,305,4.6,0.4,10054.8
54416,20220523065432,6.2,1018.1,13,78,11.5,1.4,10240.5
54511,20220523065432,2.6,1008.4,42,302,4.9,1.0,10467.9
58725,20220523065432,16.0,1014.7,17,144,6.3,0.7,10117.6
58730,20220523065432,30.0,1002.6,90,311,8.5,1.3,10135.2
58731,20220523065432,17.4,1020.8,78,173,0.9,0.1,10323.5
58734,20220523065432,7.1,1006.0,95,329,9.6,0.7,10141.8
58737,20220523065432,6.1,1023.3,74,266,1.0,1.0,10387.6
58744,20220523065432,34.9,1025.6,32,89,9.4,0.4,10135.4
58754,20220523065432,13.5,1013.0,18,12,6.0,1.5,10145.5
58818,20220523065432,11.8,1018.1,22,268,13.8,1.2,10150.7
58820,20220523065432,3.7,1023.0,71,260,8.3,1.5,10082.5
58834,20220523065432,7.6,1025.2,74,90,11.8,0.4,10065.0
58837,20220523065432,18.4,1008.3,53,175,7.5,1.3,10074.5
58843,20220523065432,15.9,1003.8,37,69,0.5,0.2,10373.6
58846,20220523065432,33.5,1021.6,76,10,13.3,0.5,10270.5
58847,20220523065432,33.4,1023.6,63,174,13.0,1.5,10366.7
58911,20220523065432,28.5,1010.2,57,154,2.0,0.0,10333.3
58918,20220523065432,4.6,1011.0,21,313,9.8,0.0,10010.0
58921,20220523065432,8.3,1000.9,53,149,14.2,0.7,10096.1
58926,20220523065432,27.3,1013.5,95,65,11.8,0.4,10063.8
58927,20220523065432,23.0,1007.4,97,9,13.8,0.5,10137.0
58931,20220523065432,3.5,1005.3,77,178,14.3,0.8,10464.7
58933,20220523065432,13.8,1017.0,87,149,12.1,0.2,10243.8
58936,20220523065432,12.0,1019.8,83,150,9.3,0.8,10045.2
58944,20220523065432,31.3,1002.5,95,129,3.1,1.5,10297.5
59113,20220523065432,20.5,1019.1,27,357,11.1,1.1,10465.0
59126,20220523065432,28.3,1011.1,81,331,0.8,1.4,10262.0
59133,20220523065432,33.7,1016.9,56,124,12.7,1.3,10368.0
59134,20220523065432,3.2,1007.0,74,3,0.2,0.7,10475.0
59321,20220523065432,31.5,1014.2,8,52,1.0,0.6,10129.0
52323,20220523065432,8.3,1026.4,71,249,4.2,0.6,10428.3
52418,20220523065432,32.4,1002.7,37,353,3.1,0.7,10189.7
52424,20220523065432,8.4,1000.0,16,242,9.8,0.8,10420.9
52436,20220523065432,33.8,1019.7,15,96,12.0,0.9,10250.1
52446,20220523065432,24.7,1003.5,75,4,4.6,0.8,10026.9
52447,20220523065432,8.1,1006.8,18,214,7.1,1.4,10400.2
52533,20220523065432,30.7,1014.7,57,57,13.0,1.1,10139.2
