站点代码, 数据时间, 气温, 气压, 相对湿度, 风向, 风速, 降雨量, 能见度
58015,20221029084542,14.0,1003.3,8,39,13.7,1.1,10088.7
58102,20221029084542,0.3,1008.2,17,141,11.9,1.0,10417.5
58118,20221029084542,32.0,1008.2,9,181,5.6,1.4,10025.1
58122,20221029084542,30.3,1017.9,24,46,12.0,1.0,10319.9
58203,20221029084542,14.4,1002.3,50,284,1.8,0.8,10015.5
58215,20221029084542,9.5,1007.1,62,98,3.3,0.5,10082.1
58221,20221029084542,23.8,1024.8,12,43,9.5,1.5,10338.0
58225,20221029084542,30.8,1012.0,60,141,5.0,0.2,10279.7
58236,20221029084542,4.5,1011.5,78,295,11.0,0.6,10335.5
58311,20221029084542,31.2,1000.4,48,164,2.8,0.0,10029.1
58314,20221029084542,5.3,1007.7,67,228,2.5,0.1,10307.6
58319,20221029084542,11.8,1002.0,48,325,0.8,1.5,10386.2
58321,20221029084542,26.0,1007.8,27,114,11.0,1.1,10012.2
58326,20221029084542,23.0,1005.8,82,290,11.7,0.4,10410.3
58336,20221029084542,14.3,1001.6,94,251,2.4,1.2,10487.8
58338,20221029084542,33.1,1014.6,16,222,9.4,1.4,10030.2
58414,20221029084542,2.2,1011.3,27,264,6.7,0.4,10083.1
58419,20221029084542,20.4,1023.9,1,128,14.2,0.2,10086.3
58424,20221029084542,18.5,1005.5,90,329,9.9,0.6,10029.6
58429,20221029084542,27.1,1004.4,56,276,13.8,1.0,10150.1
58436,20221029084542,1.4,1016.7,51,18,11.0,1.2,10329.4
58437,20221029084542,0.4,1002.7,53,227,4.3,0.9,10117.2
58520,20221029084542,11.9,1003.5,11,159,9.7,1.5,10261.0
58531,20221029084542,2.0,1024.3,33,273,8.0,1.5,10382.0
54406,20221029084542,32.4,1017.2,2,14,9.9,0.7,10343.4
54416,20221029084542,26.6,1018.5,47,199,11.4,1.4,10115.0
54511,20221029084542,7.7,1006.6,58,275,8.8,1.1,10393.8
58725,20221029084542,4.3,1023.3,55,216,10.4,1.4,10352.7
58730,20221029084542,6.8,1013.5,65,176,4.2,0.1,10036.1
58731,20221029084542,16.5,1015.3,55,132,0.0,0.0,10142.9
58734,20221029084542,5.3,1003.5,42,85,10.4,0.3,10268.2
58737,20221029084542,12.3,1024.8,68,92,8.9,1.3,10240.7
