Obtid,Time,TEMP,P,HUM,WDR,WS,R,VIZ
58015,20221001111559,31.7,1017.3,90,106,13.1,0.7,10167.0
58102,20221001111559,24.7,1013.3,77,247,11.7,1.3,10359.7
58118,20221001111559,29.3,1002.9,32,242,2.8,0.3,10093.3
58122,20221001111559,20.7,1013.0,29,161,1.9,0.7,10279.1
58203,20221001111559,32.5,1007.3,10,255,8.8,0.2,10271.7
58215,20221001111559,25.6,1001.6,47,215,7.6,0.6,10063.9
58221,20221001111559,28.2,1013.2,12,204,3.3,0.2,10178.1
58225,20221001111559,1.6,1007.6,11,167,13.3,0.6,10204.3
58236,20221001111559,21.6,1007.4,74,11,12.7,1.1,10353.4
58311,20221001111559,3.0,1022.5,33,358,3.9,1.0,10135.9
58314,20221001111559,15.1,1014.4,8,53,11.3,1.4,10491.9
58319,20221001111559,18.9,1004.8,16,169,9.9,1.3,10109.4
58321,20221001111559,16.7,1005.5,51,158,7.4,1.5,10028.9
58326,20221001111559,33.7,1000.2,61,212,10.0,0.0,10153.0
58336,20221001111559,9.4,1000.4,96,216,8.0,0.3,10378.9
58338,20221001111559,23.9,1016.5,60,203,13.8,1.5,10125.1
58414,20221001111559,31.6,1017.5,94,355,11.8,0.7,10065.8
58419,20221001111559,26.5,1020.6,96,18,13.3,1.5,10338.7
58424,20221001111559,31.1,1000.9,34,304,7.5,0.0,10184.7
58429,20221001111559,32.9,1009.0,4,280,11.3,0.6,10148.5
58436,20221001111559,33.2,1012.4,49,233,9.2,0.5,10235.2
58437,20221001111559,26.7,1025.2,35,154,0.8,0.2,10221.0
58520,20221001111559,10.0,1002.2,28,7,13.9,0.4,10392.9
58531,20221001111559,26.8,1024.7,85,182,8.0,0.7,10083.7
54406,20221001111559,31.6,1016.2,19,196,4.1,0.2,10094.0
54416,20221001111559,9.1,1004.1,11,223,9.8,0.8,10343.9
54511,20221001111559,32.3,1017.3,55,262,1.8,0.9,10084.9
58725,20221001111559,35.0,1006.8,85,303,8.6,1.3,10015.0
58730,20221001111559,9.8,1022.8,73,351,1.0,1.4,10233.5
58731,20221001111559,19.4,1014.5,50,267,2.1,1.1,10482.4
58734,20221001111559,9.1,1022.4,34,52,14.0,1.1,10472.2
58737,20221001111559,31.7,1015.1,68,127,1.4,0.4,10044.3
58744,20221001111559,20.3,1006.3,41,310,13.1,0.8,10248.6
58754,20221001111559,19.3,1019.9,42,126,1.4,0.2,10462.7
58818,20221001111559,14.7,1002.0,21,281,11.4,0.9,10280.9
58820,20221001111559,32.1,1006.5,81,224,1.6,0.0,10077.2
58834,20221001111559,4.6,1006.7,79,257,7.5,0.2,10123.0
58837,20221001111559,9.5,1012.4,94,250,8.8,0.6,10379.9
58843,20221001111559,7.0,1021.8,35,323,13.5,0.6,10295.7
58846,20221001111559,12.1,1025.2,52,308,0.7,1.1,10296.3
58847,20221001111559,26.9,1006.8,9,187,8.5,1.0,10005.4
58911,20221001111559,31.4,1024.8,5,111,14.2,0.1,10225.7
58918,20221001111559,21.0,1005.8,71,188,6.3,1.2,10432.4
58921,20221001111559,34.5,1004.5,89,41,7.2,0.7,10361.9
58926,20221001111559,14.6,1008.3,35,206,0.6,0.6,10147.1
58927,20221001111559,14.7,1022.2,11,146,4.2,1.0,10360.8
58931,20221001111559,27.2,1016.8,52,248,14.6,0.5,10052.1
58933,20221001111559,8.7,1005.9,40,189,4.1,0.0,10211.5
58936,20221001111559,23.5,1020.4,73,237,9.2,0.6,10243.0
58944,20221001111559,24.7,1007.7,71,295,3.6,0.4,10478.8
59113,20221001111559,27.9,1008.0,32,306,0.8,1.4,10459.9
59126,20221001111559,23.1,1010.7,95,318,3.6,1.0,10107.0
59133,20221001111559,12.0,1023.6,44,85,13.5,1.5,10354.5
59134,20221001111559,5.2,1007.9,100,101,7.8,0.5,10136.8
59321,20221001111559,16.0,1008.9,78,95,4.6,0.0,10338.8
52323,20221001111559,3.2,1019.9,1,344,0.3,1.1,10387.0
52418,20221001111559,18.1,1021.1,15,221,14.7,0.5,10247.6
52424,20221001111559,13.0,1000.0,14,164,10.1,0.4,10496.6
52436,20221001111559,16.4,1009.1,22,196,8.3,0.3,10018.2
