Obtid,Time,TEMP,P,HUM,WDR,WS,R,VIZ
58015,20220917115400,19.1,1019.7,9,15,13.4,1.4,10326.6
58102,20220917115400,17.4,1003.8,93,236,5.0,1.2,10461.2
58118,20220917115400,24.6,1020.4,95,239,13.0,1.0,10137.9
58122,20220917115400,27.1,1026.2,94,98,2.4,0.3,10334.1
58203,20220917115400,19.6,1018.9,1,52,13.6,0.1,10301.1
58215,20220917115400,19.1,1011.3,64,273,4.9,0.7,10016.8
58221,20220917115400,27.7,1011.8,90,226,10.3,1.1,10351.7
58225,20220917115400,9.5,1026.3,30,159,5.7,0.6,10217.8
58236,20220917115400,3.7,1014.7,24,197,2.8,0.4,10190.0
58311,20220917115400,26.2,1019.2,41,300,0.2,1.1,10169.5
58314,20220917115400,2.5,1001.7,76,194,0.6,0.8,10066.2
58319,20220917115400,20.0,1025.4,32,356,10.4,1.2,10006.9
58321,20220917115400,22.5,1021.1,57,137,13.0,0.3,10413.9
58326,20220917115400,29.4,1019.2,41,196,9.6,1.2,10128.6
58336,20220917115400,14.7,1025.6,94,44,5.0,0.1,10300.5
58338,20220917115400,19.8,1004.0,13,299,8.5,0.3,10236.8
58414,20220917115400,33.6,1005.5,55,335,14.3,0.6,10368.5
58419,20220917115400,28.3,1001.7,31,163,10.1,0.6,10439.8
58424,20220917115400,29.1,1005.3,80,319,9.1,0.4,10094.8
58429,20220917115400,20.7,1002.8,15,190,12.9,0.6,10417.7
58436,20220917115400,20.5,1000.8,90,305,8.0,1.1,10097.9
58437,20220917115400,31.4,1000.6,65,48,14.8,1.5,10183.7
58520,20220917115400,25.8,1023.4,95,259,12.2,0.9,10325.5
58531,20220917115400,6.3,1002.7,55,145,9.1,0.0,10399.3
54406,20220917115400,1.0,1017.2,29,6,2.2,0.9,10209.9
54416,20220917115400,31.6,1003.8,53,27,11.9,0.8,10168.9
54511,20220917115400,4.6,1004.0,59,320,8.5,0.8,10142.9
58725,20220917115400,1.2,1005.2,71,353,2.6,0.4,10137.5
58730,20220917115400,33.3,1026.2,38,307,14.6,0.9,10423.2
58731,20220917115400,25.5,1018.7,18,301,5.0,0.1,10259.1
58734,20220917115400,7.3,1022.9,28,90,10.5,0.1,10488.9
58737,20220917115400,0.7,1013.1,31,179,6.8,0.5,10356.2
58744,20220917115400,8.3,1014.4,55,234,12.6,1.5,10361.5
58754,20220917115400,17.9,1010.1,80,111,5.0,0.0,10224.9
58818,20220917115400,18.4,1000.2,66,291,5.7,0.8,10265.2
58820,20220917115400,1.9,1011.0,72,314,7.1,0.6,10021.5
58834,20220917115400,12.9,1010.7,31,39,3.8,0.8,10451.5
58837,20220917115400,0.6,1013.8,60,309,14.1,1.5,10413.2
58843,20220917115400,4.4,1014.7,98,73,0.7,0.6,10385.1
58846,20220917115400,31.4,1017.3,30,0,14.0,0.0,10162.0
58847,20220917115400,3.0,1007.6,92,186,1.5,0.9,10249.7
58911,20220917115400,14.1,1003.8,3,1,13.6,0.2,10493.0
58918,20220917115400,32.5,1011.8,96,160,14.2,1.2,10242.0
58921,20220917115400,5.0,1014.3,30,85,11.6,0.6,10487.1
58926,20220917115400,1.5,1002.0,84,333,1.9,0.7,10295.5
58927,20220917115400,26.8,1019.5,29,20,5.8,0.2,10000.3
58931,20220917115400,24.6,1024.4,25,335,14.7,1.5,10353.7
58933,20220917115400,3.2,1024.8,61,71,12.3,0.5,10184.4
58936,20220917115400,12.0,1001.9,7,270,1.2,0.2,10221.4
58944,20220917115400,13.7,1013.1,55,117,7.1,1.0,10015.7
59113,20220917115400,3.8,1014.8,24,120,0.9,0.3,10196.8
59126,20220917115400,2.0,1021.3,4,221,3.3,0.8,10395.5
59133,20220917115400,27.3,1018.2,2,88,10.9,0.4,10315.4
59134,20220917115400,14.2,1007.7,23,234,2.3,0.4,10178.0
59321,20220917115400,0.5,1020.1,34,140,2.6,0.9,10102.9
52323,20220917115400,34.4,1026.1,70,4,7.7,1.2,10244.3
52418,20220917115400,0.8,1018.5,91,199,4.8,1.5,10207.5
52424,20220917115400,4.3,1025.8,18,30,10.5,0.7,10248.2
52436,20220917115400,3.6,1018.0,60,177,3.3,0.1,10421.1
52446,20220917115400,18.5,1020.9,71,124,1.2,1.5,10450.7
52447,20220917115400,7.2,1001.6,39,162,0.6,0.0,10049.6
52533,20220917115400,7.9,1020.9,41,293,2.7,0.5,10306.0
52546,20220917115400,32.9,1012.3,32,237,2.5,1.1,10077.4
52652,20220917115400,34.3,1004.3,5,267,14.4,1.4,10276.5
52661,20220917115400,32.2,1024.3,57,170,13.4,0.3,10457.2
52674,20220917115400,21.3,1004.7,78,149,0.1,0.5,10162.8
52679,20220917115400,24.6,1018.8,11,348,8.3,0.1,10290.1
52681,20220917115400,27.0,1025.9,33,316,2.4,1.2,10107.2
52787,20220917115400,17.7,1012.4,48,219,3.2,0.7,10320.4
52797,20220917115400,29.8,1008.0,86,141,2.8,1.4,10220.1
52884,20220917115400,34.8,1016.1,25,72,1.1,0.2,10120.7
52895,20220917115400,13.7,1004.6,19,173,11.2,0.6,10346.6
52983,20220917115400,14.6,1024.3,6,87,0.2,0.8,10306.6
52984,20220917115400,28.7,1022.8,68,223,10.8,0.0,10364.9
52986,20220917115400,23.6,1011.1,75,322,4.9,0.3,10045.8
52996,20220917115400,14.5,1019.0,20,156,11.3,0.5,10055.2
53821,20220917115400,4.3,1018.9,84,243,12.7,1.3,10203.8
53915,20220917115400,18.9,1019.1,10,6,0.1,1.2,10382.4
53923,20220917115400,2.7,1017.8,35,200,5.1,0.9,10307.5
56074,20220917115400,16.4,1011.2,10,12,4.9,0.4,10166.0
56080,20220917115400,19.9,1024.7,34,141,10.6,1.3,10117.1
56093,20220917115400,9.9,1009.1,79,234,14.7,1.5,10244.9
56096,20220917115400,30.9,1025.3,52,93,0.3,0.9,10100.4
57014,20220917115400,6.0,1012.5,89,305,6.4,0.5,10044.7
57996,20220917115400,17.1,1008.9,42,179,14.8,0.7,10461.0
59072,20220917115400,8.4,1025.7,77,111,4.8,1.0,10279.7
59082,20220917115400,31.9,1021.6,39,178,11.4,0.9,10030.1
59087,20220917115400,26.8,1014.1,78,283,8.3,0.5,10437.0
59088,20220917115400,13.3,1014.8,51,52,9.9,0.0,10355.8
59096,20220917115400,21.7,1016.9,64,155,11.1,0.7,10008.1
59097,20220917115400,3.7,1009.2,56,30,4.3,1.4,10470.1
59107,20220917115400,17.9,1002.9,25,168,2.2,0.5,10432.5
59116,20220917115400,4.6,1022.0,34,44,8.8,1.1,10141.0
59117,20220917115400,17.2,1009.4,60,36,4.8,0.6,10182.1
59271,20220917115400,14.5,1024.8,42,54,6.0,1.3,10164.2
59278,20220917115400,5.1,1019.2,47,275,3.6,0.6,10459.3
59280,20220917115400,18.5,1026.4,97,285,4.6,0.9,10124.8
59287,20220917115400,7.9,1025.1,38,186,9.8,0.0,10022.7
59289,20220917115400,3.5,1004.0,59,80,13.5,0.0,10111.2
59293,20220917115400,14.2,1019.3,72,283,5.0,0.9,10100.9
59294,20220917115400,23.7,1001.7,64,287,1.8,0.3,10249.0
59298,20220917115400,19.3,1024.2,86,101,11.0,1.4,10041.4
59303,20220917115400,4.7,1010.2,44,99,9.4,0.5,10244.4
59304,20220917115400,7.0,1015.7,6,49,6.0,1.3,10315.5
59306,20220917115400,11.1,1005.3,4,61,9.2,1.4,10247.2
59310,20220917115400,20.0,1021.4,66,77,7.3,0.6,10267.2
59316,20220917115400,14.9,1024.7,11,286,5.1,0.1,10062.2
59317,20220917115400,4.7,1012.4,77,7,1.6,1.4,10384.8
59324,20220917115400,24.0,1007.3,90,81,1.3,0.8,10127.6
59456,20220917115400,15.7,1003.6,44,186,4.2,1.2,10203.4
59462,20220917115400,3.5,1020.2,27,164,14.1,0.4,10387.0
59478,20220917115400,32.5,1005.7,9,91,5.3,0.8,10160.4
59485,20220917115400,15.4,1026.0,76,160,8.3,0.8,10103.5
59488,20220917115400,30.1,1000.3,37,323,12.1,1.1,10487.5
59493,20220917115400,17.7,1008.1,18,302,10.6,0.7,10385.4
59501,20220917115400,27.7,1010.6,89,132,2.5,0.0,10445.3
59658,20220917115400,27.6,1011.0,3,80,5.5,1.3,10121.9
59663,20220917115400,17.2,1013.3,47,228,5.3,0.3,10284.9
59664,20220917115400,2.0,1026.1,65,53,10.8,0.9,10371.6
59673,20220917115400,14.8,1007.1,66,153,1.0,0.9,10230.2
59754,20220917115400,32.3,1016.9,90,204,14.1,1.5,10495.6
57947,20220917115400,15.1,1002.0,69,267,11.5,0.7,10399.0
